Year,Type,Geolocation,Season,CASH COSTS,NON-CASH COSTS,IMPUTED COSTS,TOTAL COSTS,GROSS RETURNS,RETURNS ABOVE CASH COSTS,RETURNS ABOVE CASH AND NON-CASH COSTS,NET RETURNS,NET PROFIT-COST RATIO,Cost per kilogram (pesos),Yield per hectare (kg),Farmgate price (pesos/kg),Population,Annual % Change
2017,Palay,PHILIPPINES,Average,20412,12840,11000,44251,72950,52538,39698,28699,0.65,11.05,4006,18.21,106738501,1.78
2017,Palay,PHILIPPINES,Dry,20291,12259,10438,42987,73988,53697,41439,31001,0.72,10.51,4089,18.09,106738501,1.78
2017,Palay,PHILIPPINES,Wet,20465,13370,11514,45349,72254,51789,38419,26905,0.59,11.5,3942,18.33,106738501,1.78
2018,Palay,PHILIPPINES,Average,21134,13927,11634,46694,79670,58536,44610,32976,0.71,11.76,3972,20.06,108568836,1.71
2018,Palay,PHILIPPINES,Dry,21386,13356,11278,46019,81031,59645,46289,35012,0.76,11.24,4095,19.79,108568836,1.71
2018,Palay,PHILIPPINES,Wet,21787,14624,12600,49011,78754,56968,42344,29744,0.61,12.65,3873,20.33,108568836,1.71
2019,Palay,PHILIPPINES,Average,22067,12360,11891,46319,68561,46494,34134,22243,0.48,11.45,4045,..,110380804,1.67
2019,Palay,PHILIPPINES,Dry,22241,12062,11532,45835,70004,47763,35700,24168,0.53,11.47,3998,..,110380804,1.67
2019,Palay,PHILIPPINES,Wet,22163,12120,12172,46455,62995,40832,28712,16540,0.36,11.38,4083,..,110380804,1.67
2020,Palay,PHILIPPINES,Average,22258,12452,12317,47027,68519,46261,33809,21492,0.46,11.5,4089,..,112190977,1.64
2020,Palay,PHILIPPINES,Dry,22573,12235,11973,46780,70921,48348,36113,24140,0.52,11.46,4083,..,112190977,1.64
2020,Palay,PHILIPPINES,Wet,22627,12739,12819,48185,66086,43460,30720,17901,0.37,11.77,4094,..,112190977,1.64
2021,Palay,PHILIPPINES,Average,24258,12709,12953,49920,69600,45341,32632,19680,0.39,12.02,4154,..,113880328,1.51
2021,Palay,PHILIPPINES,Dry,23450,12281,12434,48166,71022,47572,35290,22856,0.47,11.48,4197,..,113880328,1.51
2021,Palay,PHILIPPINES,Wet,25621,13247,13656,52524,68354,42732,29486,15830,0.3,12.75,4121,..,113880328,1.51
